"liga","ano","avg_gold_diff"
"EULCS","2015","323.91772521661705854589"
"EULCS","2016","229.95340125974074763784"
"EULCS","2017","376.73767495205304063728"
"LCK","2015","211.05473063648305897948"
"LCK","2016","81.24521692799304490995"
"LCK","2017","658.86081147585302259858"
"NALCS","2015","269.23405472973478775025"
"NALCS","2016","158.90751042725132806685"
"NALCS","2017","359.48136099849088310270"
